,Specs,Price
0, - Intel Core i3 8th Generation - 2.3 GHz - 1TB - 4GB - 15.6 - Dos,"68,999 - PKR"
1, - Intel Core i3 8th Generation - 2.2 GHz - 1TB - 4GB  - 15.6 - DOS,"68,999 - PKR"
2," - 7th Generation Intel Core i3-7020U Processor - 2.3 GHz (3 MB Cache, Kaby lake) - 500 GB - 4 GB - 15.6 - DOS","71,999 - PKR"
3, - Intel Core i3 10th Generation - 1.2 GHz - 1TB - 4GB - 15.6 - Dos,"71,999 - PKR"
4, - Core i3 10th Generation - 1.2 GHz - NO - 04 GB - 14 - Windows 10,"75,999 - PKR"
5, - Intel Core i3 10th Generation - 2.1 GHz - 1TB  HDD - 4 GB - 15.6 - DOS,"76,000 - PKR"
6, - Intel Core i3 10th Generation - 1.2 GHz - 1TB - 4GB - 15.6 - Dos,"77,999 - PKR"
7, - Core i3 - 1.2 GHz - 4 GB - 15.6 - WIN 10 Home,"78,999 - PKR"
8, - Intel Core i5  8TH Generation - 1.60 GHz - 1 TB - 4 GB - 15.6,"79,999 - PKR"
9, - Core i3 - 4 GB - 14 INCHES - WIN 10 Home,"81,000 - PKR"
10, - Intel Core i3 10th Generation - 1.2 GHz - 8GB - 15.6 - Genuine Windows 10 Home,"82,999 - PKR"
11," - Core i5 - 3.60 GHz - 1 TB - 4GB DDR4 - 15.6"" - DOS","83,999 - PKR"
12, - Core i3 - 1.2 GHz  - 4 GB - 15.6 - WIN 10 Home,"87,999 - PKR"
13," - Core i5 10th Generation - 1.2 GHz - 4 GB  - 14.0"" - Genuine Windows 10 Home","89,000 - PKR
		            	87,999 - PKR"
14," - Intel Core i5 10th Generation - 1.1 GHz - 4GB - 14.0"" - Genuine Windows 10 Home","90,000 - PKR
		            	87,999 - PKR"
15, - Intel Core i5 10th Generation - 1.2 GHz  - 4GB -  14 - Windows 10 Home ,"88,000 - PKR"
16, - Intel Core i5-10210U  - 1.6 GHz - 1 TB - 4 GB - 15.6 - Dos,"88,999 - PKR"
17, - Intel Core i5 10th Generation - 1.0 GHz  - 1TB   - 4 GB - 15.6 - DOS,"89,999 - PKR"
18, - Core i5 10th Generation - 1.2 GHz - 500GB - 4 GB  - HD - Genuine Windows 10 Home,"89,999 - PKR"
19, - Intel Core i5 10th Generation - 1.8 GHz - 1TB - 4GB RAM - 15.6 - Dos,"90,000 - PKR"
20," - Core i5 10th Generation  - 1.6 GHz - 1 TB - 4 GB - 15.6"" - Genuine Windows 10 Home","92,499 - PKR"
21, - Intel Core i5 10th Generation - 1.6 GHz  - 1TB  HDD - 4 GB RAM - 15.6 -  Windows 10 Home,"92,499 - PKR"
22, - Intel Core i5 10th Generation - 1.2 GHz  - 8 GB -  14 - Windows 10 Home ,"95,999 - PKR
		            	92,999 - PKR"
23, - Core i5 10th Generation - 1.2 GHz - 1TB - 4 GB  - HD - Genuine Windows 10 Home,"92,999 - PKR"
24," - Core i5 - 1.6 GHz - 1 TB - 4 GB - 15.6"" - DOS","92,999 - PKR"
25, - Intel Core i5 10th Generation - 1.6 GHz - 1TB - 4GB - 15.6 - Dos,"93,000 - PKR"
26, - Core i5 - 1.6 GHz - 1 TB - 4 GB - 15.6 - DOS,"93,499 - PKR"
27, - Intel Core i5 10th Generation - 1.0 GH - 1TB - 4GB - 15.6 - Dos,"94,999 - PKR"
28, - Intel Core i5 10th Generation - 1.8 GHz - 1TB - 8GB RAM - 15.6 - Dos,"95,999 - PKR"
29, - Intel Core i5 10th Generation - 1.6 GHz - 1TB - 4GB - 15.6 - Dos,"98,000 - PKR
		            	95,999 - PKR"
30, - Intel Core i5 10th Generation - 1.8 GHz - 1TB - 8GB RAM - 14.0 - Dos,"95,999 - PKR"
31, - Intel Core i3 8th Generation - 2.1 GHz - 500GB - 4GB - 14.0 - Genuine Windows 10 Home,"97,000 - PKR
		            	96,999 - PKR"
32, - Intel Core i5 10th Generation - 1.0 GH - 1TB - 4GB - 15.6 - Dos,"98,499 - PKR"
33, - Intel Core i5 10th Generation - 1.6 GHz  - 1TB  HDD - 4 GB - 15.6 - DOS,"98,999 - PKR"
34," - Core i5 - 1.6 GHz - 1 TB - 4 GB - 15.6"" - WIN 10 Home","98,999 - PKR"
35, - Intel Core i5 10th Generation - 1.0 GHz - 8GB - 14.0 - Dos,"102,999 - PKR"
36, - Intel Core i5 10th Generation - 1.2 GHz  - 8GB -  14 - Windows 10 Home ,"103,000 - PKR"
37, - Core i5 - 3.6 GHz - 8 GB - 15.6 - Windows 10 Home 64,"104,999 - PKR"
38, - Intel Core i5 8th Generation - 1.6 GHz - 1TB - 4GB - 15.6 - Windows 10 Home,"105,000 - PKR"
39, - Intel Core i5 10th Generation - 1.60 GHz  - 1TB   - 4 GB -  14 - DOS,"106,999 - PKR"
40, - Intel Core i5 10th Generation -  1.60 GHz - 1TB   - 4 GB - 15.6 in,"106,999 - PKR"
41, - Core i5 - 1.7 GHz  - 8GB - 13.3 - DOS,"107,999 - PKR"
42, - Core i5 - 1.0 GH - 8GB - 15.6 - WIN 10 Home,"110,000 - PKR"
43, - Core i5 - 1.6 GHz - 1 TB - 8GB - 14 - DOS,"110,000 - PKR"
44, - Intel Core i5 10th Generation -  1.60 GHz - 1TB   - 4 GB - 15.6 in,"110,999 - PKR"
